result_id,view_id,osm_id,voltage,s_long,name,geom,center_geom
2,2249,22765517,380000;110000,5370000000,Station Knapsack,0103000020E61000000100000010000000D4BA0D6ABF5D1B40583442E4996E494052BAF42F495D1B40213AA9D4916E494037983C54095D1B408EE89E758D6E4940D1AD7C3B2E5F1B40AE6E5056676E4940A16D35EB8C5F1B407A0E1B1B706E4940F5609C09975F1B40926A8E626F6E49404CD18030A65F1B40BC03E1AF6E6E49407F6ABC7493601B4081CF0F23846E4940A1CCF56C0C601B40297F52488D6E4940C0A4E7CC2C601B40F8787CD6906E49406A0DEF833D5F1B4049CACCBBA06E49409B6E23AF185F1B40A4D9869B9D6E4940432FEDE5885E1B4040092241A76E4940D1EFFB372F5E1B407201C34DA16E4940D4BA0D6ABF5D1B40583442E4996E4940D4BA0D6ABF5D1B40583442E4996E4940,0101000020E6100000CDAB68D3DF5E1B40637A296E886E4940
2,2250,22766160,380000;220000;110000,18480000000,Station Sechtem,0103000020E6100000010000000F000000A0D44D1883E51B40932FB2AE1B664940EEF549496AE41B402ACAA5F10B6649401D6CFB6882E21B40200835E8F0654940F53C6EAE50E21B403B0900E9F6654940AF377BB141E01B40F79672BED8654940A2E58A9CCFE21B40FF4124438E654940488D093197E41B40DAE15410A8654940B18394E9E1E51B40B77988EBBD654940CE812F9633E51B405EE45421D4654940B9F880E5ADE71B405EDFE23CF76549404DD41C6A25E61B4096DA41DB206649408872FD16F8E51B407B2F63AF1C664940B9B94269B9E51B40016E162F16664940A0D44D1883E51B40932FB2AE1B664940A0D44D1883E51B40932FB2AE1B664940,0101000020E61000006FA54E59EBE31B40D634C044D9654940
2,2251,22767509,220000;110000,3120000000,Station Siegburg,0103000020E6100000010000001A0000007830BD5873C31C40668BFF965B6649402810768A55C31C40752B3A483E66494031DBA91496C31C4094BAAEA93D664940A70293C08BC31C40C6562B6E37664940D939179007C41C40F698486936664940689599D2FAC31C40E9C138132E664940424C78F821C51C4043E55FCB2B6649402134CC1A06C51C405CEA20AF076649405CC6F253C1C51C408833BF9A03664940ECDBEE8A85C61C4088951B5602664940566D927AAAC61C40641B5D4A026649401BEC9799E3C61C40E86F4221026649401F89F260E6C61C40EE07E1760D664940771ECB715DC71C400CF379200D6649406CA45B655CC71C407C5D2B460266494077757DD580C71C406A204C4002664940CF064FD7C9C71C402F089BF001664940D41A39C1EDC71C40C326D7B90E66494086AE44A0FAC71C401F65694C2D664940CFA78E554AC71C4025E99AC937664940BFC579EEF3C61C40BE0056A247664940F129A50CC1C61C4070ED444948664940C596790668C61C40BDCC0B0B496649408C87F71C58C61C40822D65CF546649407830BD5873C31C40668BFF965B6649407830BD5873C31C40668BFF965B664940,0101000020E610000076213B44CDC51C4054AE05D82F664940
2,2252,22796434,220000;110000,520000000,Station Stockem,0103000020E6100000010000000A000000704B3F3CA6611C40E82A82A4F4694940081FEFFA71601C403B7C88FCE9694940963A6D324F631C4051B9D3E7B46949401409A69A59631C40DFB53AEFB5694940D2A68F6566631C40027278F7B6694940C730276893631C40286E707DB3694940867F6CEDD8631C40AFBBD463B669494066DCD440F3611C40F9C84164EC694940704B3F3CA6611C40E82A82A4F4694940704B3F3CA6611C40E82A82A4F4694940,0101000020E610000018E8ED6A20621C4088ED77EED6694940
2,2253,22879599,220000;110000,2080000000,Umspannwerk Großdalzig,0103000020E6100000010000000C00000059220670697F2840B0C33D3B859949408860C1A2C78028408C9823754C994940614D0A9865802840F366C3503D994940852DD1B41F802840DB498E8532994940C53247A00B802840DC55FE6B2F99494039FB5E9E297F2840E45531F037994940D49B51F3557E28400A89B48D3F994940EE8A2A0D467E2840C3B414353D994940FC315294F07D28402D2059654B994940E31A9FC9FE7D28408B7846B64E99494059220670697F2840B0C33D3B8599494059220670697F2840B0C33D3B85994940,0101000020E6100000AAE135DA657F284003AC4C3654994940
2,2254,22944791,220000;110000,2080000000,Station Bergmannsglück,0103000020E61000000100000009000000D7B7DD150B251C40ACA0B316B0CC49403A025DA049271C40C681A158B8CC49406B53D048DF271C40A7BEE25FBACC4940B989FFE0E8271C40E8AD7081BACC49401BAA189DE2271C400AA52F849CCC4940D9B38C79C2271C40F078495288CC4940DDB2E84251251C407276C6527FCC4940D7B7DD150B251C40ACA0B316B0CC4940D7B7DD150B251C40ACA0B316B0CC4940,0101000020E6100000435483D785261C40E55F55469DCC4940
2,2255,22960899,380000;110000,8200000000,Umspannwerk Mühlhausen,0103000020E6100000010000000A0000005EBAEE528F6D22409148DBF8136D4840BD749318046E224052B7B3AF3C6D4840B53F06E1C06E2240792634492C6D48400AAF134D566F224097E0794E1F6D4840E1CE2AD8EB6E22404E277E31006D48403B70CE88D26E2240C4995FCD016D484070C108D0A56E22402A06A3EDF36C4840A062E64C246E2240E32E0CA2FF6C48405EBAEE528F6D22409148DBF8136D48405EBAEE528F6D22409148DBF8136D4840,0101000020E61000001879F2B3696E224000958557186D4840
2,2256,22964137,380000;220000;110000,2830000000,Station Kruckel,0103000020E610000001000000180000000475CAA31BA91D4026CB49287DBA4940B6B1231F05A91D4022ED35F39ABA4940964AD3FB21A91D40FDAEBE709DBA49405019A48570A91D404D4D8237A4BA494072981E0368AA1D40361A65A2ADBA494056D636C5E3AA1D407CCE273CB2BA494035FC5D8E0DAB1D40CE3C1460B3BA4940E9CF23EB15AB1D40819FCC9AB3BA4940CA213DA0C7AB1D40BE7B3661B1BA49406375F574BFAC1D4027ACE86A86BA4940AD3F78A345AC1D40B22BD26982BA494031DBA91496AB1D402CD0381E7DBA49407C29E1AE03AC1D4070308AD46ABA49404148163081AB1D40BA64C16966BA4940513EF3284BAB1D4026AB22DC64BA49408A8741AA72AB1D40BEB0EBCD5EBA4940DCAA7F6B82AB1D40FAE241695EBA4940B689EEB490AB1D40532E43D25DBA4940350983D7D3AB1D40AFC4F29D4EBA4940819B2045F8AA1D402322EB5F48BA4940E8D8E66B3BAA1D407289230F44BA4940A3050DA25AA91D4022FD9BBC6DBA49400475CAA31BA91D4026CB49287DBA49400475CAA31BA91D4026CB49287DBA4940,0101000020E61000003886B57EB5AA1D40C4FE8BAF80BA4940
2,2257,22973052,220000;110000,1560000000,Umspannwerk Wuhlheide,0103000020E61000000100000013000000A63C049F30022B403C4CA02D8C3C4A403E17FCEC36022B40BB0D6ABFB53C4A407581261D40022B408A97022DB83C4A404BE768FA91032B40A86B370BC53C4A401232906797032B40601B96ABC43C4A405756E4219D032B40961AEB2CC43C4A404E113BAEA1032B4012C0CDE2C53C4A40713BD972D3032B40B20D81C8C73C4A40874C9E57E1032B40E9A27C9CC43C4A4062084A1B58042B40C26B3C7DA93C4A405438279B17042B40ADE52906A33C4A40CC91DFEC20042B401F7931DEA03C4A40EAD7310972032B401CF972558F3C4A402E292D12C9022B400237E6D07D3C4A404FFFFE3971022B409EB7B1D9913C4A40AA83BC1E4C022B40351367A08D3C4A402FA292DF47022B40E7898CB38E3C4A40A63C049F30022B403C4CA02D8C3C4A40A63C049F30022B403C4CA02D8C3C4A40,0101000020E61000008D08A38C26032B40803BCB35A63C4A40
2,2258,22973070,380000;220000;110000,6990000000,Umspannwerk Marzahn,0103000020E6100000010000000B0000004C3B35971B0C2B40C150D1A288444A40BDD0B760040C2B400F7E874787444A40D60451F7010C2B4073FB404D88444A400AE3022BE20B2B4091E91A7794444A40DE9CA5BFF20B2B4013DCA39295444A400EE02D90A00C2B408AB95ADDA0444A40734408D9C30C2B405619219793444A408F2FEB0FDE0C2B407F75B05989444A40A4586E69350C2B40F54075BD7E444A404C3B35971B0C2B40C150D1A288444A404C3B35971B0C2B40C150D1A288444A40,0101000020E6100000FDA8E8C8630C2B407B8550AA8F444A40
