result_id,view_id,object_type,line_id,relation_id,way,voltage,cables,wires,frequency,problem
1,8203,power_line,{218941021},,0105000020E610000001000000010200000004000000312CDA77A02D254014B70A62A0244B4016D16520852D2540EA6CB713DB244B40AEAE54617D2D2540C4561A42DF244B40398A62A8792D254081EB8A19E1244B40,,,,,NULL_voltage
1,8204,power_line,{264472344},,0105000020E610000001000000010200000002000000B8616FBD01591C40E3A139FC7F6449407786A92D75581C400A5A379490644940,,,,,NULL_voltage
1,8205,power_line,{297126722},,0105000020E6100000010000000102000000020000000545E2D4BDB02940DCF236DB81DB4740C94164ECDFB0294013ADCBDF73DB4740,,,,,NULL_voltage
1,8206,power_line,{310476569},,0105000020E610000001000000010200000003000000AD8D0CCDD01B244006042967DE274B40C6E3A25A441C24400283A44FAB284B40034015376E1D244069684D3D1C294B40,,,,,NULL_voltage
1,8207,power_line,{119180398},,0105000020E610000001000000010200000002000000D047197101142140140E187F36CD4840843EA253A1132140680D391158CD4840,,,,,NULL_voltage
1,8208,power_line,{353717723},,0105000020E6100000010000000102000000030000001F2C088AC4852440279D92BDEFB94740A4D6451B91852440094BE1E6F9B9474090AE88505B852440D512865C04BA4740,,,,,NULL_voltage
1,8209,power_line,{363965425},,0105000020E6100000010000000102000000020000007748D6862F60294041457AF6012E48407B241411B4602940C5A1C8A4D02D4840,,,,,NULL_voltage
1,8210,power_line,{374871410},,0105000020E610000001000000010200000002000000317C444C89882340896B6BFAA2BC49405A4524AF73882340D803F74DABBC4940,,,,,NULL_voltage
1,8211,power_line,{374914257},,0105000020E610000001000000010200000002000000C8A06EFB79A62640F7104361060C4840B11A4B581BA72640DCFE4B080C0C4840,,,,,NULL_voltage
1,8212,power_line,{376575855},,0105000020E610000001000000010200000002000000001066C9D2F52340275E5441FBD8494035FC5D8E0DF323407DED992501D94940,,,,,NULL_voltage
